"","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam"
"BLLJ_RS00005",479,701,823,899,331,1794,1133,454,871,936,648,1008,576,624,633
"BLLJ_RS00010",589,1001,1215,1255,640,2195,1501,751,1448,2850,866,1361,714,936,1108
"BLLJ_RS00015",60,84,121,99,63,234,166,68,79,185,96,138,70,101,113
"BLLJ_RS00020",34,34,45,50,42,80,45,24,42,79,43,71,30,44,26
"BLLJ_RS00025",421,619,736,759,407,723,549,175,443,709,432,546,338,484,412
"BLLJ_RS00030",283,404,508,457,262,456,381,120,256,485,307,344,212,284,285
"BLLJ_RS00035",734,1081,1575,1529,912,2406,1705,1132,1831,2748,1034,1549,989,1066,934
"BLLJ_RS00040",22,27,25,35,15,24,12,4,12,19,27,19,16,15,4
"BLLJ_RS00045",45,73,104,91,61,52,20,11,30,44,59,69,49,56,48
"BLLJ_RS00050",319,535,703,794,375,496,396,164,281,723,476,662,446,489,646
"BLLJ_RS00055",94,102,130,122,68,89,76,28,102,153,94,113,91,92,76
"BLLJ_RS00060",366,500,667,654,415,342,254,133,237,456,317,467,278,306,282
"BLLJ_RS11060",134,209,234,231,117,111,72,28,80,132,112,154,117,131,92
"BLLJ_RS00070",106,129,141,212,110,81,66,28,66,94,105,162,95,106,70
"BLLJ_RS11350",35,62,88,82,42,27,21,16,22,44,24,34,28,32,24
"BLLJ_RS00090",128,192,262,233,133,121,77,46,101,176,131,147,89,154,105
"BLLJ_RS00095",69,107,124,122,78,54,31,35,54,73,97,88,56,70,53
"BLLJ_RS00100",137,199,270,265,183,122,71,42,79,140,133,172,113,148,100
"BLLJ_RS00105",9,17,28,15,10,3,2,4,4,7,11,14,5,11,3
"BLLJ_RS00110",106,83,125,174,113,68,65,40,48,60,84,120,68,118,63
"BLLJ_RS00115",58,70,75,90,62,90,57,31,46,86,45,93,43,61,61
"BLLJ_RS00120",18,27,41,41,31,44,26,7,14,41,19,38,18,15,22
"BLLJ_RS00125",258,344,496,433,200,3280,1984,1298,1891,3217,351,625,301,363,485
"BLLJ_RS00130",10770,16279,21945,18070,12428,43665,28243,15907,47403,42019,10921,16561,8023,11974,9111
"BLLJ_RS00135",130,248,322,314,185,173,141,72,106,178,170,213,113,182,130
"BLLJ_RS00140",130,208,268,285,120,428,284,145,317,475,179,327,153,192,254
"BLLJ_RS00145",703,1148,1423,1496,765,864,651,430,713,1125,570,759,417,602,422
"BLLJ_RS00150",178,262,347,315,173,238,172,78,145,202,149,169,141,149,116
"BLLJ_RS00155",346,417,508,599,339,265,153,100,149,265,291,399,323,290,228
"BLLJ_RS00165",107,130,209,195,111,254,178,121,236,283,140,184,145,163,143
"BLLJ_RS00170",39,58,51,83,53,1280,915,391,604,573,72,99,57,54,90
"BLLJ_RS00175",9,4,10,16,9,14,13,4,8,8,15,21,13,13,10
"BLLJ_RS00180",59,83,106,76,41,108,44,41,71,99,67,101,59,58,59
"BLLJ_RS10805",35,34,58,68,16,44,27,14,30,49,45,66,30,32,33
"BLLJ_RS00185",117,157,237,271,131,308,153,63,138,317,246,407,189,288,270
"BLLJ_RS10135",11,24,23,15,5,10,10,1,15,20,13,31,22,13,5
"BLLJ_RS00195",406,482,651,716,376,476,246,181,348,463,420,651,440,473,410
"BLLJ_RS11220",80,84,114,120,45,263,178,68,171,215,92,114,57,95,106
"BLLJ_RS00205",34,60,86,70,38,39,26,16,21,48,27,56,36,32,14
"BLLJ_RS00210",112,139,193,192,99,211,137,68,147,168,123,187,91,113,111
"BLLJ_RS00215",1615,2492,3458,3212,1894,3728,2430,1643,3061,5397,2399,3201,1943,2362,2438
"BLLJ_RS00220",114,172,238,210,128,90,76,41,69,118,127,150,89,147,105
"BLLJ_RS00225",47,67,82,98,52,27,25,8,23,26,59,76,48,69,52
"BLLJ_RS00230",43,72,103,88,57,158,88,65,153,193,119,201,88,140,182
"BLLJ_RS00235",87,118,168,178,119,146,91,78,131,203,111,119,96,119,104
"BLLJ_RS00240",355,586,689,807,370,331,253,122,326,493,357,591,337,516,347
"BLLJ_RS00245",1249,1728,2273,2743,1555,3080,2172,931,2107,2994,1466,2423,1348,1913,1760
"BLLJ_RS00250",41,56,68,75,37,23,32,21,25,54,18,31,24,38,19
"BLLJ_RS00255",1116,1583,2034,2134,1061,1438,1100,547,1177,1931,1234,1450,963,1342,1154
"BLLJ_RS00260",451,648,829,817,421,836,602,220,783,412,925,1024,354,1001,938
