,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,refseq,symbol,product
1524,BLLJ_RS07885,4023.573914,3.804673591,0.110139565,34.54411318,1.75E-261,3.37E-258,WP_008783092.1,WP_008783092.1,DUF308 domain-containing protein
1582,BLLJ_RS08190,1905.623864,3.619543292,0.13134648,27.55721572,3.63E-167,1.75E-164,WP_019728231.1,WP_019728231.1,class I SAM-dependent methyltransferase
31,BLLJ_RS00170,305.8299411,3.334911575,0.220685852,15.11157852,1.36E-51,6.09E-50,WP_007054562.1,WP_007054562.1,putative DNA binding domain-containing protein
1905,BLLJ_RS09880,897.7058463,3.270663777,0.094893226,34.46677821,2.52E-260,2.43E-257,WP_003827843.1,WP_003827843.1,DUF3990 domain-containing protein
792,BLLJ_RS04085,1875.159096,3.12417035,0.115026799,27.16036939,1.91E-162,7.36E-160,WP_007056183.1,WP_007056183.1,hypothetical protein
1300,BLLJ_RS06750,1518.202184,3.093773312,0.128986658,23.9852195,3.97E-127,8.50E-125,WP_003830383.1,WP_003830383.1,oleate hydratase
1182,BLLJ_RS06145,1785.447232,3.063265919,0.160734963,19.05786935,5.65E-81,5.45E-79,WP_007052641.1,WP_007052641.1,helix-turn-helix transcriptional regulator
1442,BLLJ_RS07475,21000.68144,2.838088148,0.085849536,33.05886407,1.16E-239,7.46E-237,WP_013410823.1,groL,chaperonin GroEL
1904,BLLJ_RS09875,143.1483312,2.809881547,0.169573373,16.57029936,1.14E-61,6.68E-60,WP_007054640.1,WP_007054640.1,helix-turn-helix transcriptional regulator
1831,BLLJ_RS09485,1325.072349,2.805717868,0.184328799,15.22126698,2.56E-52,1.17E-50,WP_013141460.1,WP_013141460.1,ABC transporter ATP-binding protein/permease
1830,BLLJ_RS09480,932.7655089,2.777671402,0.164220653,16.91426356,3.53E-64,2.20E-62,WP_007052940.1,WP_007052940.1,ABC transporter ATP-binding protein/permease
747,BLLJ_RS03855,1445.051763,2.656594961,0.101810789,26.09345214,4.33E-150,1.39E-147,WP_018143755.1,sufB,Fe-S cluster assembly protein SufB
1088,BLLJ_RS05655,503.9610772,2.562673668,0.122736172,20.87953064,8.22E-97,1.32E-94,WP_011068110.1,hrcA,heat-inducible transcriptional repressor HrcA
1838,BLLJ_RS09520,357.912722,2.539723014,0.147217127,17.25154582,1.09E-66,7.24E-65,WP_007055060.1,WP_007055060.1,FtsX-like permease family protein
274,BLLJ_RS01420,565.898387,2.535274053,0.113393995,22.35809797,1.01E-110,1.77E-108,WP_007051459.1,WP_007051459.1,TetR/AcrR family transcriptional regulator
1696,BLLJ_RS08790,5349.304786,2.518833529,0.305271194,8.251133999,1.57E-16,1.68E-15,WP_019260708.1,groES,co-chaperone GroES
456,BLLJ_RS02350,2243.665762,2.507953086,0.152184207,16.47971978,5.13E-61,2.83E-59,WP_013410305.1,WP_013410305.1,S-ribosylhomocysteine lyase
261,BLLJ_RS01350,1443.047596,2.456759619,0.09632505,25.50488808,1.74E-143,4.79E-141,WP_013410384.1,WP_013410384.1,tetratricopeptide repeat protein
23,BLLJ_RS00125,1037.911397,2.428319121,0.126908076,19.13447281,1.30E-81,1.32E-79,WP_019727636.1,WP_019727636.1,ATP-binding protein
748,BLLJ_RS03860,495.0468448,2.318089934,0.097876707,23.68377522,5.30E-124,1.02E-121,WP_012577908.1,sufD,Fe-S cluster assembly protein SufD
679,BLLJ_RS03510,1327.382148,2.247063425,0.113693373,19.76424279,6.05E-87,6.86E-85,WP_014485010.1,WP_014485010.1,TIGR00730 family Rossman fold protein
982,BLLJ_RS05090,0.59499179,2.23678248,1.395411248,1.602955747,0.108944425,0.169118237,WP_012577586.1,WP_012577586.1,hypothetical protein
749,BLLJ_RS03865,459.6734898,2.212726937,0.113685095,19.46365028,2.23E-84,2.39E-82,WP_003829252.1,sufC,Fe-S cluster assembly ATPase SufC
1839,BLLJ_RS09525,85.3005832,2.197919348,0.1824227,12.048497,1.98E-33,4.38E-32,WP_012578658.1,WP_012578658.1,ABC transporter ATP-binding protein
1351,BLLJ_RS07015,412.6601765,2.168468766,0.12344459,17.56633294,4.46E-69,3.31E-67,WP_015713756.1,WP_015713756.1,vitamin K epoxide reductase family protein
1856,BLLJ_RS09610,3445.092184,2.164384239,0.11912622,18.16883168,9.11E-74,7.64E-72,WP_013410530.1,WP_013410530.1,nitroreductase family protein
817,BLLJ_RS04195,6021.931726,2.14234466,0.108364051,19.76988346,5.41E-87,6.52E-85,WP_012577775.1,bsh,choloylglycine hydrolase
381,BLLJ_RS01980,398.9796679,2.045474871,0.135626298,15.08169805,2.14E-51,9.16E-50,WP_007051343.1,trxA,thioredoxin
1359,BLLJ_RS07055,75.98484148,1.955429859,0.202060895,9.677428492,3.76E-22,5.49E-21,NA,NA,Rrf2 family transcriptional regulator
70,BLLJ_RS00360,628.2828952,1.940197846,0.199195665,9.74016097,2.03E-22,3.01E-21,WP_007055906.1,WP_007055906.1,Hsp20/alpha crystallin family protein
1604,BLLJ_RS08320,1236.172433,1.934731512,0.110948838,17.43805112,4.24E-68,3.03E-66,WP_015713844.1,WP_015713844.1,DUF4037 domain-containing protein
1605,BLLJ_RS08325,422.0423709,1.914579787,0.148629047,12.88159907,5.71E-38,1.43E-36,WP_015713845.1,WP_015713845.1,DUF4125 family protein
1173,BLLJ_RS06095,474.3037404,1.898894944,0.119562169,15.88207177,8.43E-57,4.28E-55,WP_007055163.1,WP_007055163.1,hypothetical protein
1840,BLLJ_RS09530,89.78127631,1.87341222,0.176914921,10.58933983,3.34E-26,5.85E-25,WP_013141474.1,WP_013141474.1,TetR/AcrR family transcriptional regulator
1084,BLLJ_RS05635,1958.479631,1.837799495,0.103628885,17.7344327,2.27E-70,1.75E-68,NA,NA,PAC2 family protein
1299,BLLJ_RS06745,293.5789135,1.83566444,0.119207283,15.39892855,1.66E-53,8.02E-52,WP_007053332.1,WP_007053332.1,GNAT family N-acetyltransferase
1339,BLLJ_RS06950,117.0539118,1.831144565,0.148225574,12.35376945,4.65E-35,1.09E-33,WP_013141034.1,recO,DNA repair protein RecO
696,BLLJ_RS03600,386.5279157,1.808836418,0.173818778,10.40644997,2.32E-25,3.85E-24,WP_010081435.1,WP_010081435.1,MDR family MFS transporter
1360,BLLJ_RS07060,108.1104841,1.795756306,0.34892371,5.146558563,2.65E-07,1.34E-06,WP_007054033.1,WP_007054033.1,mycoredoxin
1349,BLLJ_RS07005,1914.365195,1.790791341,0.133047742,13.45976502,2.70E-41,8.00E-40,WP_007055412.1,WP_007055412.1,DUF3107 domain-containing protein
675,BLLJ_RS03480,1772.349791,1.787545146,0.073660135,24.26747048,4.32E-130,1.04E-127,WP_007052058.1,WP_007052058.1,ATP-dependent Clp protease proteolytic subunit
1578,BLLJ_RS08170,604.1942448,1.770828596,0.115634239,15.31405072,6.16E-53,2.90E-51,WP_015512010.1,WP_015512010.1,glycosyltransferase family 2 protein
676,BLLJ_RS03485,1688.312756,1.765875835,0.127620925,13.83688323,1.53E-43,4.91E-42,WP_012578007.1,WP_012578007.1,ATP-dependent Clp protease proteolytic subunit
1628,BLLJ_RS08440,949.8391951,1.7453434,0.125700037,13.88498716,7.81E-44,2.58E-42,WP_014485339.1,WP_014485339.1,FAD-dependent oxidoreductase
1464,BLLJ_RS07590,210.9892485,1.719246343,0.12382839,13.88410481,7.91E-44,2.58E-42,WP_007057155.1,WP_007057155.1,DedA family protein
751,BLLJ_RS03875,295.5896937,1.69567298,0.172954682,9.804146134,1.08E-22,1.64E-21,WP_007052149.1,WP_007052149.1,SUF system NifU family Fe-S cluster assembly protein
1772,BLLJ_RS09190,836.557428,1.674305114,0.121989409,13.72500394,7.19E-43,2.17E-41,WP_014485285.1,clpB,ATP-dependent chaperone ClpB
1434,BLLJ_RS07435,3006.306311,1.656318064,0.081957565,20.20945911,8.08E-91,1.11E-88,WP_007053196.1,WP_007053196.1,ATP-dependent Clp protease ATP-binding subunit
1579,BLLJ_RS08175,819.4935587,1.654205886,0.087905713,18.81795657,5.38E-79,4.94E-77,WP_007052370.1,WP_007052370.1,AI-2E family transporter
1246,BLLJ_RS06460,597.3834968,1.650078648,0.141574343,11.65520968,2.16E-31,4.43E-30,WP_007054427.1,WP_007054427.1,NUDIX domain-containing protein
750,BLLJ_RS03870,545.6648323,1.643678406,0.106635339,15.41401214,1.32E-53,6.51E-52,WP_003829253.1,WP_003829253.1,cysteine desulfurase
1572,BLLJ_RS08140,4468.884879,1.643032815,0.081640785,20.12514719,4.44E-90,5.71E-88,WP_007052378.1,ftsH,ATP-dependent zinc metalloprotease FtsH
24,BLLJ_RS00130,20499.21396,1.637864551,0.130711496,12.53037875,5.09E-36,1.24E-34,WP_003815072.1,WP_003815072.1,DNA starvation/stationary phase protection protein
1077,BLLJ_RS05575,1283.314261,1.632740236,0.112104367,14.56446597,4.73E-48,1.86E-46,WP_007052859.1,WP_007052859.1,preprotein translocase subunit YajC
1197,BLLJ_RS06220,468.615234,1.62143372,0.153826622,10.54065737,5.61E-26,9.66E-25,WP_007052625.1,WP_007052625.1,type II toxin-antitoxin system VapC family toxin
84,BLLJ_RS00435,1029.245934,1.617588424,0.130135127,12.43006761,1.79E-35,4.33E-34,WP_011068543.1,WP_011068543.1,trypsin-like peptidase domain-containing protein
1809,BLLJ_RS09365,1245.986397,1.613549892,0.151767298,10.63173631,2.12E-26,3.75E-25,WP_015713904.1,WP_015713904.1,ABC transporter permease
852,BLLJ_RS04375,64.40221148,1.604121066,0.23751,6.753909592,1.44E-11,1.12E-10,WP_007057097.1,WP_007057097.1,DUF2316 family protein
1627,BLLJ_RS08435,631.4988885,1.577468204,0.158910402,9.926777476,3.18E-23,4.95E-22,WP_007056726.1,WP_007056726.1,Rrf2 family transcriptional regulator
1198,BLLJ_RS06225,513.9329464,1.557004968,0.118195219,13.17316365,1.25E-39,3.35E-38,WP_013410773.1,WP_013410773.1,type II toxin-antitoxin system RelB/DinJ family antitoxin
273,BLLJ_RS01415,814.7338444,1.548638836,0.095177328,16.27108963,1.58E-59,8.48E-58,WP_016462206.1,WP_016462206.1,aspartate ammonia-lyase
791,BLLJ_RS04080,231.3322261,1.537843908,0.115082888,13.36292417,9.96E-41,2.91E-39,WP_014484938.1,WP_014484938.1,peroxiredoxin
603,BLLJ_RS03095,1822.659242,1.536879054,0.10188585,15.0843228,2.05E-51,9.00E-50,WP_013411002.1,WP_013411002.1,FKBP-type peptidyl-prolyl cis-trans isomerase
1494,BLLJ_RS07730,222.1259744,1.517688935,0.125686498,12.07519469,1.43E-33,3.20E-32,WP_003830196.1,WP_003830196.1,nucleotidyltransferase substrate binding protein
1087,BLLJ_RS05650,426.1425524,1.513627881,0.126496187,11.96579843,5.37E-33,1.18E-31,WP_012577446.1,dnaJ,molecular chaperone DnaJ
1347,BLLJ_RS06995,533.6797938,1.510977004,0.091262525,16.5563795,1.44E-61,8.17E-60,WP_007055443.1,WP_007055443.1,ATP-dependent helicase
1245,BLLJ_RS06455,1146.629285,1.494889231,0.113395921,13.18291891,1.10E-39,3.03E-38,WP_011068002.1,WP_011068002.1,aminopeptidase P family protein
1063,BLLJ_RS05505,1009.063995,1.488762162,0.154891154,9.611666795,7.14E-22,1.03E-20,WP_007052872.1,WP_007052872.1,RNA polymerase-binding protein RbpA
1573,BLLJ_RS08145,1370.811435,1.488565841,0.105112879,14.16159332,1.58E-45,5.65E-44,WP_003830048.1,hpt,hypoxanthine phosphoribosyltransferase
1581,BLLJ_RS08185,8774.05841,1.476661183,0.156291265,9.448136333,3.45E-21,4.75E-20,WP_007053853.1,fucO,lactaldehyde reductase
1074,BLLJ_RS05560,251.9787931,1.476387546,0.125700691,11.74526193,7.47E-32,1.55E-30,WP_013410844.1,sucD,succinate--CoA ligase subunit alpha
506,BLLJ_RS02600,408.610255,1.473777273,0.099373407,14.83070093,9.28E-50,3.81E-48,WP_016462362.1,WP_016462362.1,glycosyltransferase
1810,BLLJ_RS09370,781.0703373,1.449952066,0.154415093,9.389963359,6.00E-21,8.21E-20,WP_013582985.1,WP_013582985.1,ATP-binding cassette domain-containing protein
1076,BLLJ_RS05570,715.6605149,1.449886323,0.103308634,14.03451264,9.59E-45,3.24E-43,WP_011743182.1,WP_011743182.1,adenine phosphoribosyltransferase
1204,BLLJ_RS06255,606.6848287,1.447917459,0.089408032,16.19448979,5.52E-59,2.87E-57,WP_007055261.1,WP_007055261.1,DUF3710 domain-containing protein
1340,BLLJ_RS06955,2767.307467,1.445774892,0.071349591,20.26325412,2.71E-91,4.03E-89,WP_011067955.1,WP_011067955.1,alpha/beta hydrolase
1200,BLLJ_RS06235,1431.216658,1.43199658,0.080407943,17.8091432,6.00E-71,4.82E-69,WP_019727478.1,WP_019727478.1,cation-translocating P-type ATPase
1854,BLLJ_RS09600,851.3789614,1.427605593,0.101426787,14.07523238,5.39E-45,1.86E-43,WP_015713929.1,WP_015713929.1,histidine phosphatase family protein
